Community District Name,2019,2020,2021,2022,2023,2024,Race
Manhattan 1,220,203,202,170,166,138,White
Manhattan 2,199,186,190,167,158,141,White
Manhattan 3,274,251,255,221,192,163,White
Manhattan 4,291,278,286,246,235,207,White
Manhattan 5,452,416,417,353,330,289,White
Manhattan 6,212,200,199,172,155,134,White
Manhattan 7,183,178,185,163,142,113,White
Manhattan 8,222,212,213,182,173,147,White
Manhattan 9,106,92,90,81,73,56,Black
Manhattan 10,132,113,109,93,81,62,Black
Manhattan 11,144,129,126,105,90,71,Hispanic
Manhattan 12,199,161,161,120,109,85,Hispanic
Bronx 1,131,94,88,75,63,51,Hispanic
Bronx 2,78,64,62,51,43,39,Hispanic
Bronx 3,97,80,77,61,48,41,Hispanic
Bronx 4,168,146,138,109,95,80,Hispanic
Bronx 5,152,127,132,106,90,71,Hispanic
Bronx 6,114,101,102,89,78,66,Hispanic
Bronx 7,158,137,132,118,108,90,White
Bronx 8,86,74,76,66,57,48,Black
Bronx 9,175,144,135,98,92,69,Hispanic
Bronx 10,152,139,139,127,113,102,Hispanic
Bronx 11,137,127,129,114,103,82,Hispanic
Bronx 12,162,142,135,119,111,92,Black
Brooklyn 1,308,278,283,248,225,166,White
Brooklyn 2,159,143,141,117,100,85,White
Brooklyn 3,199,163,166,136,115,95,Black
Brooklyn 4,185,159,159,137,125,95,Hispanic
Brooklyn 5,181,150,152,99,89,71,Black
Brooklyn 6,145,137,140,127,116,99,White
Brooklyn 7,132,124,122,104,93,78,Hispanic
Brooklyn 8,109,92,92,78,60,45,Black
Brooklyn 9,90,78,78,70,62,43,Black
Brooklyn 10,175,155,157,128,122,109,White
Brooklyn 11,224,196,196,162,149,121,Asian
Brooklyn 12,119,111,109,99,89,81,White
Brooklyn 13,88,78,81,72,63,55,White
Brooklyn 14,141,119,120,100,93,78,Black
Brooklyn 15,173,161,166,137,120,95,White
Brooklyn 16,98,80,72,54,44,35,Black
Brooklyn 17,122,105,100,81,75,67,Black
Brooklyn 18,140,127,129,114,106,92,Black
Queens 1,271,260,261,229,212,196,White
Queens 2,170,155,162,147,138,126,Hispanic
Queens 3,154,136,137,119,114,105,Hispanic
Queens 4,152,146,159,135,126,112,Hispanic
Queens 5,255,239,252,214,204,181,White
Queens 6,105,99,104,93,89,83,White
Queens 7,188,176,181,163,159,148,Asian
Queens 8,117,112,120,108,103,94,Asian
Queens 9,157,142,143,123,112,100,Hispanic
Queens 10,129,124,125,116,109,102,Asian
Queens 11,85,81,87,71,65,58,Asian
Queens 12,249,221,229,190,164,129,Black
Queens 13,135,121,131,105,95,80,Black
Queens 14,90,81,84,70,67,58,Black
Staten Island 1,222,205,210,191,181,164,White
Staten Island 2,158,147,144,126,125,112,White
Staten Island 3,137,129,137,123,121,114,White
