Community District Name,Race,Year,Count
Manhattan 1,White,2019,220
Manhattan 2,White,2019,199
Manhattan 3,White,2019,274
Manhattan 4,White,2019,291
Manhattan 5,White,2019,452
Manhattan 6,White,2019,212
Manhattan 7,White,2019,183
Manhattan 8,White,2019,222
Manhattan 9,Black,2019,106
Manhattan 10,Black,2019,132
Manhattan 11,Hispanic,2019,144
Manhattan 12,Hispanic,2019,199
Bronx 1,Hispanic,2019,131
Bronx 2,Hispanic,2019,78
Bronx 3,Hispanic,2019,97
Bronx 4,Hispanic,2019,168
Bronx 5,Hispanic,2019,152
Bronx 6,Hispanic,2019,114
Bronx 7,White,2019,158
Bronx 8,Black,2019,86
Bronx 9,Hispanic,2019,175
Bronx 10,Hispanic,2019,152
Bronx 11,Hispanic,2019,137
Bronx 12,Black,2019,162
Brooklyn 1,White,2019,308
Brooklyn 2,White,2019,159
Brooklyn 3,Black,2019,199
Brooklyn 4,Hispanic,2019,185
Brooklyn 5,Black,2019,181
Brooklyn 6,White,2019,145
Brooklyn 7,Hispanic,2019,132
Brooklyn 8,Black,2019,109
Brooklyn 9,Black,2019,90
Brooklyn 10,White,2019,175
Brooklyn 11,Asian,2019,224
Brooklyn 12,White,2019,119
Brooklyn 13,White,2019,88
Brooklyn 14,Black,2019,141
Brooklyn 15,White,2019,173
Brooklyn 16,Black,2019,98
Brooklyn 17,Black,2019,122
Brooklyn 18,Black,2019,140
Queens 1,White,2019,271
Queens 2,Hispanic,2019,170
Queens 3,Hispanic,2019,154
Queens 4,Hispanic,2019,152
Queens 5,White,2019,255
Queens 6,White,2019,105
Queens 7,Asian,2019,188
Queens 8,Asian,2019,117
Queens 9,Hispanic,2019,157
Queens 10,Asian,2019,129
Queens 11,Asian,2019,85
Queens 12,Black,2019,249
Queens 13,Black,2019,135
Queens 14,Black,2019,90
Staten Island 1,White,2019,222
Staten Island 2,White,2019,158
Staten Island 3,White,2019,137
Manhattan 1,White,2020,203
Manhattan 2,White,2020,186
Manhattan 3,White,2020,251
Manhattan 4,White,2020,278
Manhattan 5,White,2020,416
Manhattan 6,White,2020,200
Manhattan 7,White,2020,178
Manhattan 8,White,2020,212
Manhattan 9,Black,2020,92
Manhattan 10,Black,2020,113
Manhattan 11,Hispanic,2020,129
Manhattan 12,Hispanic,2020,161
Bronx 1,Hispanic,2020,94
Bronx 2,Hispanic,2020,64
Bronx 3,Hispanic,2020,80
Bronx 4,Hispanic,2020,146
Bronx 5,Hispanic,2020,127
Bronx 6,Hispanic,2020,101
Bronx 7,White,2020,137
Bronx 8,Black,2020,74
Bronx 9,Hispanic,2020,144
Bronx 10,Hispanic,2020,139
Bronx 11,Hispanic,2020,127
Bronx 12,Black,2020,142
Brooklyn 1,White,2020,278
