GEOID,total_active_licenses
36061011500,19
36061001502,18
36061010100,16
36061012500,16
36061010900,16
36061002100,16
36061013100,15
36061000700,15
36061000900,14
36061011300,13
36061009800,12
36061013700,11
36061004100,11
36061009200,11
36081093800,11
36047042700,10
36061007600,10
36061011900,10
36061003400,10
36085002100,10
36061003300,10
36061007700,10
36061008400,10
36047049600,9
36081055700,9
36061009100,9
36061001800,9
36061011100,9
36061003800,9
36005006301,9
36061001300,9
36061006500,9
36061019300,9
36047051300,8
36085014604,8
36061006700,8
36061012400,8
36061013300,8
36081069300,8
36061006600,8
36081044601,8
36061008800,8
36005039700,8
36061009500,8
36061010200,8
36061003200,8
36005020000,8
36061007400,8
36061012700,8
36061007200,8
36081087100,7
36061006800,7
36047019100,7
36085024800,7
36047052700,7
36081008800,7
36005043101,7
36061021800,7
36047008400,7
36081046500,7
36061009600,7
36005026602,7
36081043900,7
36061004700,7
36081030903,7
36061006100,7
36085013400,7
36047016000,7
36005038500,7
36081000702,7
36047038600,7
36061008200,7
36061014802,7
36005039300,6
36081011500,6
36047038900,6
36061012101,6
36061028500,6
36005042500,6
36061007100,6
36005041300,6
36061018900,6
36081018300,6
36061016700,6
36081029400,6
36061011000,6
36085022602,6
36061001600,6
36061025900,6
36061002602,6
36085029104,6
36005033000,6
36005030000,6
36061008100,6
36061010000,6
36005023900,6
36085018901,6
36047006500,6
36061002201,6
36081015900,6
36061006400,6
36005039100,6
36081053100,6
36005043102,6
36081054900,6
36061013900,6
36081001200,6
36061003002,6
36005007600,6
36085023900,6
36061013800,6
36005044902,6
36061022500,6
36047014300,6
36005008500,6
36047044500,6
36047018800,6
36047049700,6
36081055100,6
36081028900,6
36005019700,6
36061015700,6
36061003001,6
36005028900,6
36047049500,6
36005017702,5
36061008000,5
36081025301,5
36047003300,5
36081030600,5
36081086900,5
36061011800,5
36047005800,5
36047055300,5
36005039902,5
36005021502,5
36047042900,5
36081134100,5
36047119600,5
36081007100,5
36005038900,5
36081026901,5
36081059502,5
36005036300,5
36047012902,5
36061007300,5
36085000800,5
36061016600,5
36081058500,5
36047043900,5
36081005900,5
36061010400,5
36061022000,5
36047006800,5
36081051200,5
36061013502,5
36061029300,5
36061018800,5
36005038100,5
36005040702,5
36081078800,5
36061003601,5
36085016901,5
36061013400,5
36047024500,5
36005026601,5
36005009200,5
36047090600,5
36085021300,5
36081046200,5
36005019500,5
36005041400,5
36047060600,5
36061014601,5
36085014607,5
36061023200,5
36061009300,5
36081023800,5
36047036900,5
36081006100,5
36085030302,5
36005026300,5
36061027100,5
36061012102,5
36081094201,5
36061005400,5
36081015802,5
36061015302,5
36061016900,5
36061017000,5
36061004900,5
36047007600,5
36085020702,5
36061023300,5
36061017200,5
36081005400,5
36061021303,5
36061024500,5
36047040800,5
36005039901,5
36005008700,5
36005025300,5
36047059100,4
36081037900,4
36061014500,4
36081089201,4
36081117500,4
36081005100,4
36047018000,4
36081052100,4
36081047300,4
36005021800,4
36005029500,4
36061005501,4
36005042100,4
36081009400,4
36005040400,4
36061011402,4
36081021400,4
36061015801,4
36005048401,4
36005024000,4
36047117400,4
36061003700,4
36005017500,4
36047112600,4
36047055200,4
36005017701,4
36061000600,4
36047056100,4
36005003900,4
36061004002,4
36047057100,4
36005018900,4
36047050402,4
36005037800,4
36081009700,4
36081046100,4
36047006000,4
36081112300,4
36047001100,4
36085013204,4
36061022301,4
36081005300,4
36081016900,4
36005023703,4
36047078601,4
36081075701,4
36081021601,4
36081088400,4
36047028900,4
36081046000,4
36061018300,4
36081008600,4
36047089000,4
36005040304,4
36005007900,4
36005025100,4
36085012100,4
36047059402,4
36047057800,4
36047013900,4
36005002500,4
36081124100,4
36061015900,4
36081056700,4
36005014100,4
36047040300,4
36061021100,4
36047114600,4
36081061301,4
36081039901,4
36047046000,4
36061015200,4
36005037300,4
36005040600,4
36047017200,4
36081098100,4
36081017901,4
36047052500,4
36005009301,4
36047082800,4
36081062500,4
36061003100,4
36047077000,4
36047066200,4
36081028300,4
36005019900,4
36005034000,4
36085000700,4
36061017100,4
36061018400,4
36085011203,4
36047044100,4
36047043100,4
36005005400,4
36061019600,4
36005022800,4
36047007400,4
36005011502,4
36081015801,4
36085027706,4
36081024300,4
36047041300,4
36047079601,4
36081006300,4
36081032000,4
36047119800,4
36061004001,4
36061014000,4
36081003302,4
36047057500,4
36081011300,4
36047014500,4
36047037500,4
36081014201,4
36047056500,4
36061023100,4
36047048100,4
36081068700,4
36047054900,4
36061011201,4
36047053200,4
36047079400,4
36061018200,4
36005026701,4
36081071100,4
36081040502,4
36047055100,4
36061008700,4
36061026300,4
36081084000,4
36047082000,4
36081073700,4
36081049302,4
36047007700,4
36061008300,4
36081040302,4
36081024900,4
36005022102,4
36047008000,4
36085009602,4
36081054700,4
36047050600,4
36081014202,4
36081014700,4
36047043300,4
36005043503,4
36047049100,4
36061007800,4
36061009000,4
36047028100,4
36081077906,4
36047074000,4
36081033000,4
36081025900,4
36005025000,4
36047051900,4
36081077904,4
36047110400,4
36081026100,4
36081083800,4
36047052600,4
36005002702,4
36061026500,4
36005037900,4
36081059300,4
