DCA.License.Number,License.Type,License.Expiration.Date,License.Status,License.Creation.Date,Industry,Business.Name,Business.Name.2,Address.Building,Address.Street.Name,Secondary.Address.Street.Name,Address.City,Address.State,Address.ZIP,Contact.Phone.Number,Address.Borough,Borough.Code,Community.Board,Council.District,BIN,BBL,NTA,Census.Tract,Detail,Longitude,Latitude,Location,census_code,census_tract
1178405-DCA,Business,12/31/2023,Active,08/27/2004,Tobacco Retail Dealer,OLSEN NEWS CORP.,,,BROADWAY,WEST   40 STREET,NEW YORK,NY,10018,646-258-4324,Manhattan,1.0,105.0,3.0,,,,,,-73.9868654197287,40.7543170886513,"(40.75431708865135, -73.98686541972873)",360610113001007.0,11300
2016212-1-DCA,Business,12/31/2023,Active,12/05/2014,Tobacco Retail Dealer,ASTORIA CENTER INC,,4402,ASTORIA BLVD,,ASTORIA,NY,11103,347-668-4569,Queens,4.0,401.0,22.0,4012858.0,4007170029.0,QN70,141.0,,-73.9069268281986,40.7682015820295,"(40.76820158202948, -73.9069268281986)",360810141002006.0,14100
1217359-DCA,Business,12/31/2023,Active,01/11/2006,Tobacco Retail Dealer,"FLEUR, RONY ST",RON'S DELI GROCERY STORE,17024,JAMAICA AVE,,JAMAICA,NY,11432,7186589156,Queens,4.0,412.0,27.0,4217486.0,4102120009.0,QN61,444.0,,-73.7892842185725,40.7072912195116,"(40.70729121951161, -73.7892842185725)",360810444001000.0,44400
1435239-DCA,Business,12/31/2023,Active,06/22/2012,Tobacco Retail Dealer,PRESBYTERIAN 164 DELI CORP.,,1081,SAINT NICHOLAS AVE,,NEW YORK,NY,10032,212-568-3130,Manhattan,1.0,112.0,7.0,1062937.0,1021220116.0,MN36,245.0,,-73.9400199113235,40.83760200534,"(40.83760200533997, -73.94001991132355)",360610245001001.0,24500
2045066-1-DCA,Business,12/31/2023,Active,10/26/2016,Tobacco Retail Dealer,A & M DELI & GRILL INC,,13202,JAMAICA AVE,,RICHMOND HILL,NY,11418,347-635-2975,Queens,4.0,409.0,29.0,4196340.0,4093400101.0,QN54,14202.0,,-73.8204974705587,40.7021098482328,"(40.70210984823282, -73.82049747055868)",360810142021005.0,14202
2095955-1-DCA,Business,12/31/2023,Active,07/15/2020,Tobacco Retail Dealer,SAMMY TOBACCO INC,,17001,JAMAICA AVE,,JAMAICA,NY,11432,929-257-9790,Queens,4.0,412.0,27.0,4209742.0,4098040012.0,,,,-73.789663213503,40.7072040799687,"(40.70720407996868, -73.78966321350295)",360810462003006.0,46200
1369967-DCA,Business,12/31/2023,Active,09/08/2010,Tobacco Retail Dealer,"BECKFORD, ANNABELLE M",LUCKY STOP AND SHOP,549,NEW YORK AVE,,BROOKLYN,NY,11225,7183441300,Brooklyn,3.0,309.0,40.0,3106545.0,3047920051.0,BK60,806.0,,-73.9477799927268,40.6613518324176,"(40.66135183241761, -73.94777999272682)",360470806001003.0,80600
1282707-DCA,Business,12/31/2023,Active,04/23/2008,Tobacco Retail Dealer,BIG APPLE FORTUNES INC.,MAGAZINE CAFE,15,W 37TH ST,,NEW YORK,NY,10018,212-391-2004,Manhattan,1.0,105.0,4.0,1015967.0,1008390029.0,MN17,84.0,,-73.9839751690912,40.7506881676495,"(40.7506881676495, -73.98397516909118)",360610084002002.0,8400
1171563-DCA,Business,12/31/2023,Active,06/23/2004,Tobacco Retail Dealer,LIVONIA GROCERY CORP.,,933,LIVONIA AVE,,BROOKLYN,NY,11207,718-495-5449,Brooklyn,3.0,305.0,42.0,3329560.0,3040800051.0,BK82,1120.0,,-73.8826112988413,40.666463975869,"(40.666463975869036, -73.88261129884128)",360471120001005.0,112000
2038369-1-DCA,Business,12/31/2023,Active,05/27/2016,Tobacco Retail Dealer,"JIGME & PHUNTSOK OF NYC, INC.",,7305,37TH RD,,JACKSON HEIGHTS,NY,11372,718-205-5022,Queens,4.0,403.0,25.0,4029791.0,4012840007.0,QN28,289.0,,-73.8922495133475,40.7471640309634,"(40.747164030963404, -73.89224951334751)",360810289003003.0,28900
