,DCA License Number,License Type,License Expiration Date,License Status,License Creation Date,Industry,Business Name,Business Name 2,Address Building,Address Street Name,Secondary Address Street Name,Address City,Address State,Address ZIP,Contact Phone Number,Address Borough,Borough Code,Community Board,Council District,BIN,BBL,NTA,Census Tract,Detail,Longitude,Latitude,Location,year,age
0,1178405-DCA,Business,12/31/2023,Active,08/27/2004,Tobacco Retail Dealer,OLSEN NEWS CORP.,,,BROADWAY,WEST   40 STREET,NEW YORK,NY,10018,646-258-4324,Manhattan,1.0,105.0,3.0,,,,,,-73.98686541972873,40.75431708865135,"(40.75431708865135, -73.98686541972873)",2004,20
1,2016212-1-DCA,Business,12/31/2023,Active,12/05/2014,Tobacco Retail Dealer,ASTORIA CENTER INC,,4402,ASTORIA BLVD,,ASTORIA,NY,11103,347-668-4569,Queens,4.0,401.0,22.0,4012858.0,4007170029.0,QN70,141.0,,-73.9069268281986,40.76820158202948,"(40.76820158202948, -73.9069268281986)",2014,10
2,1217359-DCA,Business,12/31/2023,Active,01/11/2006,Tobacco Retail Dealer,"FLEUR, RONY ST",RON'S DELI GROCERY STORE,17024,JAMAICA AVE,,JAMAICA,NY,11432,7186589156,Queens,4.0,412.0,27.0,4217486.0,4102120009.0,QN61,444.0,,-73.7892842185725,40.70729121951161,"(40.70729121951161, -73.7892842185725)",2006,18
3,1435239-DCA,Business,12/31/2023,Active,06/22/2012,Tobacco Retail Dealer,PRESBYTERIAN 164 DELI CORP.,,1081,SAINT NICHOLAS AVE,,NEW YORK,NY,10032,212-568-3130,Manhattan,1.0,112.0,7.0,1062937.0,1021220116.0,MN36,245.0,,-73.94001991132355,40.83760200533997,"(40.83760200533997, -73.94001991132355)",2012,12
4,2045066-1-DCA,Business,12/31/2023,Active,10/26/2016,Tobacco Retail Dealer,A & M DELI & GRILL INC,,13202,JAMAICA AVE,,RICHMOND HILL,NY,11418,347-635-2975,Queens,4.0,409.0,29.0,4196340.0,4093400101.0,QN54,14202.0,,-73.82049747055868,40.70210984823282,"(40.70210984823282, -73.82049747055868)",2016,8
5,2095955-1-DCA,Business,12/31/2023,Active,07/15/2020,Tobacco Retail Dealer,SAMMY TOBACCO INC,,17001,JAMAICA AVE,,JAMAICA,NY,11432,929-257-9790,Queens,4.0,412.0,27.0,4209742.0,4098040012.0,,,,-73.78966321350295,40.70720407996868,"(40.70720407996868, -73.78966321350295)",2020,4
6,1369967-DCA,Business,12/31/2023,Active,09/08/2010,Tobacco Retail Dealer,"BECKFORD, ANNABELLE M",LUCKY STOP AND SHOP,549,NEW YORK AVE,,BROOKLYN,NY,11225,7183441300,Brooklyn,3.0,309.0,40.0,3106545.0,3047920051.0,BK60,806.0,,-73.94777999272682,40.66135183241761,"(40.66135183241761, -73.94777999272682)",2010,14
7,1282707-DCA,Business,12/31/2023,Active,04/23/2008,Tobacco Retail Dealer,BIG APPLE FORTUNES INC.,MAGAZINE CAFE,15,W 37TH ST,,NEW YORK,NY,10018,212-391-2004,Manhattan,1.0,105.0,4.0,1015967.0,1008390029.0,MN17,84.0,,-73.98397516909118,40.7506881676495,"(40.7506881676495, -73.98397516909118)",2008,16
8,1171563-DCA,Business,12/31/2023,Active,06/23/2004,Tobacco Retail Dealer,LIVONIA GROCERY CORP.,,933,LIVONIA AVE,,BROOKLYN,NY,11207,718-495-5449,Brooklyn,3.0,305.0,42.0,3329560.0,3040800051.0,BK82,1120.0,,-73.88261129884128,40.66646397586904,"(40.666463975869036, -73.88261129884128)",2004,20
9,2038369-1-DCA,Business,12/31/2023,Active,05/27/2016,Tobacco Retail Dealer,"JIGME & PHUNTSOK OF NYC, INC.",,7305,37TH RD,,JACKSON HEIGHTS,NY,11372,718-205-5022,Queens,4.0,403.0,25.0,4029791.0,4012840007.0,QN28,289.0,,-73.89224951334751,40.74716403096341,"(40.747164030963404, -73.89224951334751)",2016,8
10,2035915-1-DCA,Business,12/31/2023,Active,04/12/2016,Tobacco Retail Dealer,L STOP GOURMET DELI CORP.,,223,MONTROSE AVE,,BROOKLYN,NY,11206,347-889-6608,Brooklyn,3.0,301.0,34.0,3071163.0,3030540026.0,BK78,493.0,,-73.94021260626926,40.70762775314755,"(40.70762775314755, -73.94021260626926)",2016,8
11,2066822-1-DCA,Business,12/31/2023,Active,02/23/2018,Tobacco Retail Dealer,BISMILAH UNIDOS INC,THE DULCE ESQUINA,340,E 174TH ST,,BRONX,NY,10457,718-822-3430,Bronx,2.0,204.0,15.0,2009336.0,2028890044.0,BX01,165.0,,-73.90384567687367,40.84438989086224,"(40.84438989086224, -73.90384567687367)",2018,6
12,2043752-1-DCA,Business,12/31/2023,Active,09/15/2016,Tobacco Retail Dealer,SUNRISE GROCERY CORP,,6005,5TH AVE,,BROOKLYN,NY,11220,646-966-2245,Brooklyn,3.0,307.0,38.0,3143470.0,3057830008.0,BK32,122.0,,-74.01626473312574,40.63937133577816,"(40.63937133577816, -74.01626473312574)",2016,8
13,2097473-1-DCA,Business,12/31/2023,Active,01/11/2021,Tobacco Retail Dealer,FOUR KANYA INC,,105,E 23RD ST,,NEW YORK,NY,10010,5167109488,Manhattan,1.0,105.0,2.0,1018033.0,1008790001.0,,,,-73.98591195733462,40.74000585562675,"(40.74000585562675, -73.98591195733462)",2021,3
14,2095405-1-DCA,Business,12/31/2023,Active,03/17/2020,Tobacco Retail Dealer,BIG SIX DELI CORP,,6116,QUEENS BLVD,,WOODSIDE,NY,11377,7186060691,Queens,4.0,402.0,26.0,,,,,,-73.90310667137645,40.74133284470868,"(40.74133284470868, -73.90310667137645)",2020,4
15,2096021-1-DCA,Business,12/31/2023,Active,07/22/2020,Tobacco Retail Dealer,71 DELI & GRILL INC,,7102,NEW UTRECHT AVE,,BROOKLYN,NY,11228,7182136157,Brooklyn,3.0,311.0,43.0,3157768.0,3061800029.0,,,,-73.99908507523914,40.61882224576021,"(40.618822245760214, -73.99908507523914)",2020,4
16,2065365-1-DCA,Business,12/31/2023,Active,01/25/2018,Tobacco Retail Dealer,S & S CONVENIENCE STORE NY CORP,,3974,61ST ST,,WOODSIDE,NY,11377,716-3228486,Queens,4.0,402.0,26.0,4030037.0,4012930001.0,QN63,259.0,,-73.90349416208333,40.74537618967035,"(40.74537618967035, -73.90349416208333)",2018,6
17,2035498-1-DCA,Business,12/31/2023,Active,04/04/2016,Tobacco Retail Dealer,NEILL GOURMET DELI LLC,,1074,NEILL AVE,,BRONX,NY,10461,718-684-4050,Bronx,2.0,211.0,13.0,2048437.0,2042710001.0,BX49,250.0,,-73.85676889546612,40.85312685309395,"(40.85312685309395, -73.85676889546612)",2016,8
18,2038755-1-DCA,Business,12/31/2023,Active,06/07/2016,Tobacco Retail Dealer,NEIGHBORHOOD DELI & GROCERY NY INC.,,150,STANTON ST,,NEW YORK,NY,10002,212-780-9279,Manhattan,1.0,103.0,2.0,1004344.0,1003550071.0,MN27,3001.0,,-73.98552645046023,40.72056196123128,"(40.720561961231276, -73.98552645046023)",2016,8
19,2076683-1-DCA,Business,12/31/2023,Active,08/06/2018,Tobacco Retail Dealer,74TH ST GOURMET DELI THREE CORP,,7321,METROPOLITAN AVE,,MIDDLE VILLAGE,NY,11379,929-365-9916,Queens,4.0,405.0,30.0,4071500.0,4030580070.0,QN21,65702.0,,-73.87903443257981,40.71276458213765,"(40.71276458213765, -73.87903443257981)",2018,6
