,name,total_count,total_caps,population,retailers_per_1000,is_midtown,code
34,Manhattan 5&6,423,349,183089,2.310351796,TRUE,105
34,Manhattan 5&6,423,349,183089,2.310351796,TRUE,106
28,Manhattan 1&2,279,223,149102,1.871202264,FALSE,101
28,Manhattan 1&2,279,223,149102,1.871202264,FALSE,102
33,Manhattan 4,207,155,112582,1.838659821,TRUE,104
32,Manhattan 3,163,145,141787,1.149611742,FALSE,103
38,Queens 1,196,152,177115,1.106625639,FALSE,401
47,Queens 5,181,134,175992,1.028455839,FALSE,405
22,Brooklyn 4,95,104,94423,1.006110799,FALSE,304
44,Queens 2,126,96,125926,1.000587647,FALSE,402
11,Brooklyn 10,109,89,116696,0.934050867,FALSE,310
24,Brooklyn 6,99,74,107930,0.917261188,FALSE,306
52,Staten Island 1,164,133,184556,0.888619173,FALSE,501
10,Brooklyn 1,166,167,186944,0.88796645,FALSE,301
39,Queens 10,102,68,129072,0.790256601,FALSE,410
53,Staten Island 2,112,84,145506,0.769727709,FALSE,502
1,Bronx 10,102,82,136930,0.744906156,FALSE,210
51,Queens 9,100,84,136313,0.733605746,FALSE,409
2,Bronx 11,82,74,114874,0.713825583,FALSE,311
36,Manhattan 8,147,113,206975,0.710230704,FALSE,108
54,Staten Island 3,114,74,161071,0.707762415,FALSE,503
46,Queens 4,112,82,160534,0.697671521,FALSE,404
7,Bronx 7,90,81,132380,0.679861006,FALSE,207
12,Brooklyn 11,121,118,184415,0.65612884,FALSE,311
48,Queens 6,83,54,128592,0.645452283,FALSE,406
45,Queens 3,105,84,162686,0.645415094,FALSE,403
50,Queens 8,94,59,148045,0.634942078,FALSE,408
4,Bronx 3&6,107,118,168992,0.633166067,FALSE,203
4,Bronx 3&6,107,118,168992,0.633166067,FALSE,206
16,Brooklyn 15,95,91,151970,0.62512338,FALSE,315
20,Brooklyn 2,85,89,135987,0.625059748,FALSE,302
6,Bronx 5,71,82,114828,0.61831609,FALSE,205
0,Bronx 1&2,90,117,146382,0.614829692,FALSE,201
0,Bronx 1&2,90,117,146382,0.614829692,FALSE,202
25,Brooklyn 7,78,77,129890,0.600508122,FALSE,307
49,Queens 7,148,102,246851,0.599551956,FALSE,407
3,Bronx 12,92,87,153790,0.59821835,FALSE,212
5,Bronx 4,80,97,139747,0.572463094,FALSE,204
21,Brooklyn 3,95,117,166380,0.570982089,FALSE,303
30,Manhattan 11,71,76,128317,0.553317175,FALSE,111
8,Bronx 8,48,48,87280,0.54995417,FALSE,208
37,Manhattan 9,56,58,105801,0.529295564,FALSE,109
41,Queens 12,129,141,248158,0.519830108,FALSE,412
15,Brooklyn 14,78,78,152340,0.512012603,FALSE,314
35,Manhattan 7,113,94,226989,0.49782148,FALSE,107
40,Queens 11,58,43,118293,0.490307964,FALSE,411
19,Brooklyn 18,92,76,189888,0.484496124,FALSE,318
14,Brooklyn 13,55,48,119482,0.460320383,FALSE,313
43,Queens 14,58,47,126629,0.458030941,FALSE,414
27,Brooklyn 9,43,49,94109,0.456916979,FALSE,309
29,Manhattan 10,62,75,138953,0.446194037,FALSE,110
13,Brooklyn 12,81,65,191368,0.423268258,FALSE,312
31,Manhattan 12,85,114,202678,0.419384442,FALSE,112
26,Brooklyn 8,45,58,107419,0.418920303,FALSE,308
18,Brooklyn 17,67,68,160620,0.417133607,FALSE,317
42,Queens 13,80,73,193823,0.412747713,FALSE,413
9,Bronx 9,69,93,184743,0.373491824,FALSE,209
23,Brooklyn 5,71,109,200828,0.353536359,FALSE,305
17,Brooklyn 16,35,54,99827,0.350606549,FALSE,316
